"income","education","occupation","type.of.home","ethnic.classification"
"75+","college graduate","homemaker","house","white"
"75+","college graduate","professional/managerial","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","unemployed","apartment","white"
"[50,75)","graduate study","student","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","high school graduate","sales","apartment","white"
"75+","college (1-3 years)","sales","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","college graduate","professional/managerial","apartment","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college graduate","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","high school graduate","homemaker","house","white"
"[25,30)","college graduate","professional/managerial","apartment","asian"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","sales","house","white"
"[30,40)","high school graduate","homemaker","house","hispanic"
"[20,25)","grades 9-11","sales","condominium","white"
"[0,10)","grade <9","student","house","white"
"[50,75)","college (1-3 years)","laborer","house","white"
"[50,75)","college graduate","professional/managerial","condominium","white"
"[40,50)","college (1-3 years)","retired","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","college (1-3 years)","homemaker","house","asian"
"75+","college (1-3 years)","homemaker","house","white"
"[50,75)","college (1-3 years)","homemaker","condominium","white"
"[0,10)","grades 9-11","clerical/service","house","white"
"[10,15)","grades 9-11","homemaker","apartment","white"
"75+","graduate study","homemaker","house","white"
"75+","graduate study","professional/managerial","house","white"
"[25,30)","high school graduate","unemployed","house","white"
"[50,75)","grades 9-11","sales","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","grades 9-11","student","house","white"
"[20,25)","high school graduate","clerical/service","apartment","american indian"
"75+","college graduate","homemaker","house","white"
"[50,75)","college graduate","clerical/service","house","white"
"[30,40)","college (1-3 years)","homemaker","condominium","white"
"[0,10)","grade <9","unemployed","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","apartment","asian"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","graduate study","student","house","white"
"75+","graduate study","professional/managerial","house","white"
"[10,15)","grades 9-11","clerical/service","apartment","hispanic"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","other","white"
"75+","graduate study","professional/managerial","house","white"
"[30,40)","high school graduate","professional/managerial","house","white"
"[30,40)","high school graduate","homemaker","house","white"
"[10,15)","high school graduate","laborer","apartment","white"
"[20,25)","college graduate","retired","apartment","white"
"[50,75)","graduate study","homemaker","house","white"
"75+","high school graduate","sales","house","white"
"[40,50)","college graduate","professional/managerial","apartment","white"
"[0,10)","grades 9-11","student","house","asian"
"75+","college (1-3 years)","homemaker","house","white"
"[0,10)","high school graduate","professional/managerial","house","white"
"[25,30)","college (1-3 years)","clerical/service","mobile Home","hispanic"
"[30,40)","grade <9","sales","apartment","hispanic"
"75+","college graduate","professional/managerial","house","white"
"[25,30)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grade <9","student","condominium","hispanic"
"[40,50)","high school graduate","laborer","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[50,75)","graduate study","professional/managerial","house","black"
"75+","grades 9-11","clerical/service","house","white"
"75+","graduate study","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","college graduate","sales","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","white"
"[40,50)","high school graduate","professional/managerial","apartment","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[15,20)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","sales","apartment","white"
"[30,40)","high school graduate","laborer","other","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[40,50)","college (1-3 years)","homemaker","condominium","black"
"75+","college graduate","sales","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","other"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","sales","house","white"
"[0,10)","high school graduate","student","house","white"
"[0,10)","high school graduate","student","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","high school graduate","clerical/service","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[10,15)","college (1-3 years)","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"[10,15)","high school graduate","homemaker","apartment","white"
"[10,15)","high school graduate","student","apartment","white"
"[0,10)","high school graduate","sales","apartment","white"
"[30,40)","college (1-3 years)","homemaker","house","white"
"[15,20)","grade <9","laborer","house","black"
"[0,10)","grades 9-11","unemployed","apartment","white"
"[0,10)","college (1-3 years)","student","apartment","white"
"[40,50)","graduate study","professional/managerial","house","white"
"[20,25)","college graduate","clerical/service","house","white"
"[30,40)","college (1-3 years)","homemaker","house","asian"
"75+","graduate study","professional/managerial","house","white"
"[40,50)","college graduate","sales","condominium","black"
"[15,20)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","other","white"
"[15,20)","high school graduate","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","graduate study","professional/managerial","house","white"
"[15,20)","college (1-3 years)","laborer","house","white"
"[50,75)","grades 9-11","sales","house","white"
"[0,10)","high school graduate","homemaker","apartment","white"
"[0,10)","grades 9-11","sales","apartment","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","unemployed","house","white"
"[20,25)","high school graduate","sales","house","white"
"[15,20)","grade <9","professional/managerial","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","sales","house","white"
"[25,30)","college graduate","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[20,25)","college graduate","professional/managerial","house","white"
"[30,40)","college (1-3 years)","clerical/service","house","white"
"[50,75)","graduate study","professional/managerial","house","hispanic"
"[40,50)","high school graduate","professional/managerial","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[15,20)","college graduate","professional/managerial","mobile Home","white"
"[40,50)","college graduate","sales","house","white"
"[40,50)","college (1-3 years)","clerical/service","house","white"
"[25,30)","graduate study","professional/managerial","house","other"
"[50,75)","college (1-3 years)","student","house","white"
"[0,10)","graduate study","student","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"75+","college (1-3 years)","student","apartment","white"
"[0,10)","college (1-3 years)","student","house","white"
"[20,25)","college (1-3 years)","professional/managerial","house","american indian"
"[0,10)","grades 9-11","sales","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","hispanic"
"[40,50)","college (1-3 years)","clerical/service","house","white"
"[25,30)","graduate study","professional/managerial","house","white"
"[50,75)","graduate study","homemaker","house","white"
"[20,25)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","graduate study","homemaker","house","white"
"[30,40)","graduate study","professional/managerial","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","homemaker","apartment","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[30,40)","high school graduate","student","condominium","white"
"75+","college graduate","professional/managerial","house","white"
"[15,20)","college (1-3 years)","clerical/service","condominium","hispanic"
"[0,10)","grades 9-11","student","house","black"
"[50,75)","college graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","clerical/service","house","white"
"[0,10)","high school graduate","student","house","white"
"[10,15)","high school graduate","unemployed","apartment","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","condominium","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[30,40)","graduate study","homemaker","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[15,20)","college (1-3 years)","clerical/service","condominium","black"
"[0,10)","grades 9-11","student","house","pacific islander"
"[50,75)","college graduate","student","house","pacific islander"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","clerical/service","house","white"
"[40,50)","college (1-3 years)","laborer","house","white"
"[40,50)","high school graduate","professional/managerial","condominium","pacific islander"
"[15,20)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","professional/managerial","apartment","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[10,15)","high school graduate","homemaker","house","white"
"[50,75)","grades 9-11","sales","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","graduate study","professional/managerial","house","white"
"[15,20)","college (1-3 years)","homemaker","house","white"
"[25,30)","college (1-3 years)","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"[25,30)","college (1-3 years)","professional/managerial","condominium","white"
"[20,25)","high school graduate","professional/managerial","apartment","american indian"
"75+","college (1-3 years)","professional/managerial","house","white"
"[30,40)","high school graduate","unemployed","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","graduate study","professional/managerial","house","pacific islander"
"[40,50)","college graduate","clerical/service","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[30,40)","college (1-3 years)","laborer","house","white"
"[15,20)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","professional/managerial","condominium","white"
"[40,50)","graduate study","professional/managerial","condominium","white"
"[50,75)","high school graduate","professional/managerial","house","white"
"[40,50)","high school graduate","professional/managerial","house","white"
"[30,40)","high school graduate","laborer","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
