"Variety","Regimem","Day","Night","Fertilizer","Flowers"
"2","5",14,20,"1",12
"2","5",14,20,"1",8
"2","5",14,20,"1",8
"2","5",14,20,"1",6
"2","5",14,20,"1",7
"2","5",14,20,"1",12
"2","5",14,20,"1",10
"2","5",14,20,"1",7
"2","5",14,20,"1",6
"2","5",14,20,"1",8
"1","5",14,20,"1",8
"1","5",14,20,"1",12
"1","5",14,20,"1",8
"1","5",14,20,"1",11
"1","5",14,20,"1",7
"1","5",14,20,"1",9
"1","5",14,20,"1",7
"1","5",14,20,"1",7
"1","5",14,20,"1",10
"1","5",14,20,"1",10
"2","5",14,20,"4",6
"2","5",14,20,"4",8
"2","5",14,20,"4",7
"2","5",14,20,"4",9
"2","5",14,20,"4",6
"2","5",14,20,"4",10
"2","5",14,20,"4",7
"2","5",14,20,"4",7
"2","5",14,20,"4",8
"2","5",14,20,"4",9
"1","5",14,20,"2",9
"1","5",14,20,"2",12
"1","5",14,20,"2",8
"1","5",14,20,"2",7
"1","5",14,20,"2",10
"1","5",14,20,"2",10
"1","5",14,20,"2",8
"1","5",14,20,"2",8
"1","5",14,20,"2",6
"1","5",14,20,"2",10
"1","5",14,20,"4",12
"1","5",14,20,"4",9
"1","5",14,20,"4",8
"1","5",14,20,"4",7
"1","5",14,20,"4",9
"1","5",14,20,"4",12
"1","5",14,20,"4",11
"1","5",14,20,"4",9
"1","5",14,20,"4",9
"1","5",14,20,"4",7
"2","5",14,20,"2",11
"2","5",14,20,"2",8
"2","5",14,20,"2",11
"2","5",14,20,"2",8
"2","5",14,20,"2",9
"2","5",14,20,"2",5
"2","5",14,20,"2",9
"2","5",14,20,"2",12
"2","5",14,20,"2",5
"2","5",14,20,"2",7
"2","5",14,20,"3",10
"2","5",14,20,"3",8
"2","5",14,20,"3",10
"2","5",14,20,"3",13
"2","5",14,20,"3",5
"2","5",14,20,"3",12
"2","5",14,20,"3",8
"2","5",14,20,"3",8
"2","5",14,20,"3",9
"2","5",14,20,"3",9
"1","5",14,20,"3",10
"1","5",14,20,"3",6
"1","5",14,20,"3",10
"1","5",14,20,"3",7
"1","5",14,20,"3",10
"1","5",14,20,"3",7
"1","5",14,20,"3",8
"1","5",14,20,"3",7
"1","5",14,20,"3",10
"1","5",14,20,"3",9
"3","5",14,20,"4",6
"3","5",14,20,"4",7
"3","5",14,20,"4",4
"3","5",14,20,"4",10
"3","5",14,20,"4",8
"3","5",14,20,"4",8
"3","5",14,20,"4",9
"3","5",14,20,"4",7
"3","5",14,20,"4",11
"3","5",14,20,"4",8
"4","5",14,20,"4",7
"4","5",14,20,"4",8
"4","5",14,20,"4",12
"4","5",14,20,"4",6
"4","5",14,20,"4",9
"4","5",14,20,"4",9
"4","5",14,20,"4",6
"4","5",14,20,"4",8
"4","5",14,20,"4",15
"4","5",14,20,"4",8
"4","5",14,20,"2",8
"4","5",14,20,"2",9
"4","5",14,20,"2",8
"4","5",14,20,"2",9
"4","5",14,20,"2",7
"4","5",14,20,"2",5
"4","5",14,20,"2",9
"4","5",14,20,"2",7
"4","5",14,20,"2",7
"4","5",14,20,"2",7
"3","5",14,20,"3",4
"3","5",14,20,"3",10
"3","5",14,20,"3",11
"3","5",14,20,"3",7
"3","5",14,20,"3",7
"3","5",14,20,"3",13
"3","5",14,20,"3",10
"3","5",14,20,"3",11
"3","5",14,20,"3",6
"3","5",14,20,"3",5
"4","5",14,20,"3",10
"4","5",14,20,"3",6
"4","5",14,20,"3",8
"4","5",14,20,"3",10
"4","5",14,20,"3",15
"4","5",14,20,"3",11
"4","5",14,20,"3",10
"4","5",14,20,"3",9
"4","5",14,20,"3",11
"4","5",14,20,"3",6
"3","5",14,20,"2",11
"3","5",14,20,"2",7
"3","5",14,20,"2",6
"3","5",14,20,"2",9
"3","5",14,20,"2",9
"3","5",14,20,"2",10
