hiv,factor,year,age,py,deaths
1,1,78,1,0.32,0
1,1,78,2,11.02,0
1,1,78,3,16.93,0
1,1,78,4,10.06,0
1,1,78,5,20.74,0
1,1,78,6,11.76,0
1,1,78,7,7.55,0
1,1,78,8,2.2,0
1,1,78,9,1,0
1,1,78,10,2.45,0
1,1,78,11,5.46,0
1,1,78,12,0.08,0
1,1,79,2,6.63,0
1,1,79,3,23.4,0
1,1,79,4,19.81,0
1,1,79,5,15.94,0
1,1,79,6,16.8,0
1,1,79,7,12.74,0
1,1,79,8,5.09,0
1,1,79,9,5.27,0
1,1,79,10,2.19,0
1,1,79,11,4.47,0
1,1,79,12,2.54,0
1,1,79,13,1.08,0
1,1,80,1,0.76,0
1,1,80,2,7.69,0
1,1,80,3,20.03,0
1,1,80,4,18.9,0
1,1,80,5,18.19,0
1,1,80,6,15.7,0
1,1,80,7,14.76,0
1,1,80,8,6.48,0
1,1,80,9,3.01,0
1,1,80,10,4.01,0
1,1,80,11,2,0
1,1,80,12,2,0
1,1,80,13,2,0
1,1,81,1,1,0
1,1,81,2,9.04,0
1,1,81,3,28.08,0
1,1,81,4,18.65,0
1,1,81,5,17.93,0
1,1,81,6,12.66,0
1,1,81,7,12.4,0
1,1,81,8,5.82,0
1,1,81,9,2.86,0
1,1,81,10,3.05,0
1,1,81,11,5.33,0
1,1,81,12,3.14,0
1,1,81,13,1.27,0
1,1,82,1,1.7,0
1,1,82,2,3.72,0
1,1,82,3,11.06,0
1,1,82,4,9.27,0
1,1,82,5,8.17,0
1,1,82,6,4.57,0
1,1,82,7,7.05,0
1,1,82,8,4.63,0
1,1,82,9,1.04,0
1,1,82,10,1.42,0
1,1,82,11,2.79,0
1,1,82,12,2.2,0
1,1,82,13,0.85,0
1,1,82,14,0.15,0
1,1,83,1,1,0
1,1,83,2,3,0
1,1,83,3,6.84,0
1,1,83,4,9.04,0
1,1,83,5,2.53,0
1,1,83,6,5,0
1,1,83,7,0.96,0
1,1,83,8,1.31,0
1,1,83,9,0.21,0
1,1,83,10,0.88,0
1,1,83,11,1,0
1,1,83,12,1,0
1,1,83,14,0.09,0
1,1,84,1,2,0
1,1,84,2,2.3,0
1,1,84,3,5.3,0
1,1,84,4,3.74,0
1,1,84,5,4.36,0
1,1,84,6,4.37,0
1,1,84,7,0.58,0
1,1,84,8,1,0
1,1,84,9,1,0
1,1,84,10,0.32,0
1,1,84,11,1,0
1,1,84,12,1.13,0
1,1,84,13,0.88,0
1,1,85,1,0.31,0
1,1,85,2,1,0
1,1,85,3,3.72,0
1,1,85,4,5.58,0
1,1,85,5,3.52,0
1,1,85,6,5.09,0
1,1,85,7,4.24,0
1,1,85,8,1.18,0
1,1,85,9,1.23,0
1,1,85,11,0.73,0
1,1,86,2,2.26,0
1,1,86,3,2.27,0
1,1,86,4,7.24,0
1,1,86,5,4.66,0
1,1,86,6,2.67,0
1,1,86,7,3.26,0
1,1,86,9,1.93,0
1,1,86,10,0.6,0
1,1,86,11,0.47,0
1,1,86,12,0.99,0
1,1,86,13,1,0
1,1,87,1,1.79,0
1,1,87,2,5.93,0
1,1,87,3,3.29,0
1,1,87,4,4.98,0
1,1,87,5,4,0
1,1,87,6,6.71,0
1,1,87,7,2.14,0
1,1,87,8,0.65,0
1,1,87,9,0.64,0
1,1,87,10,0.71,0
1,1,87,11,1,0
1,1,87,12,1,0
1,1,87,13,1,0
1,1,88,1,0.58,0
1,1,88,2,4.88,0
1,1,88,3,4.57,0
1,1,88,4,4.62,0
1,1,88,5,3.34,0
1,1,88,6,4.94,0
1,1,88,7,3.54,0
1,1,88,8,4.54,0
1,1,88,9,1.33,0
1,1,88,10,1.67,0
1,1,88,11,1,0
1,1,88,12,1,0
1,1,89,1,1.61,0
1,1,89,2,4.39,0
1,1,89,3,7.16,0
1,1,89,4,6.85,0
1,1,89,5,4.87,0
1,1,89,6,3.14,0
1,1,89,7,2.58,0
1,1,89,8,1.4,0
1,1,89,14,1,0
1,1,90,1,1.52,0
1,1,90,2,6.86,0
1,1,90,3,7.98,0
1,1,90,4,6.33,0
1,1,90,5,6.1,0
1,1,90,6,3.73,0
1,1,90,7,2.27,0
1,1,90,8,2.99,0
1,1,90,9,2,0
1,1,90,11,1,0
1,1,90,12,1,0
1,1,90,14,0.38,1
1,1,91,1,1.19,0
1,1,91,2,11.89,0
1,1,91,3,8.01,0
1,1,91,4,5.17,0
1,1,91,5,3.04,0
1,1,91,6,1.66,0
1,1,91,7,1.33,0
1,1,91,8,4.17,0
1,1,91,9,0.91,0
1,1,91,11,0.53,0
1,1,91,12,0.47,0
1,1,92,1,0.99,0
1,1,92,2,11.68,0
1,1,92,3,12.04,0
1,1,92,4,6.87,0
1,1,92,5,3.49,0
1,1,92,6,1.77,0
1,1,92,7,4.04,1
1,1,92,8,4.04,1
1,1,92,9,1.65,0
1,1,92,10,0.35,0
1,1,92,12,1,0
1,1,93,2,7.07,0
1,1,93,3,15.46,0
1,1,93,4,2.32,0
1,1,93,5,1.28,0
1,1,93,6,2,0
1,1,93,7,3.12,0
1,1,93,8,2.71,0
1,1,93,9,1.34,0
1,1,93,10,0.33,0
1,1,93,11,1.41,0
1,1,93,12,1,0
1,1,93,14,2,0
1,1,94,2,7.55,0
1,1,94,3,25.39,0
1,1,94,4,6.16,0
1,1,94,5,4.54,1
1,1,94,6,1.26,0
1,1,94,7,1.01,0
1,1,94,8,0.13,0
1,1,94,9,1,0
